time,data
0,29.885
1,29.755
2,29.635
5,29.79
6,29.98
7,29.73
8,30.23
9,30.93
13,31.21
14,31.18
15,31.075
16,30.92
19,30.89
20,30.685
21,30.936
22,30.765
23,30.91
26,30.59
27,30.525
28,30.635
29,30.7
30,30.506
33,29.79
34,29.55
35,29.506
36,29.25
37,29.165
40,28.915
41,29.035
42,29.285
43,29.52
44,28.823
48,28.73
49,29.05
50,29.348
51,29.06
54,29.015
55,28.29
56,28.061
57,27.955
58,27.89
61,27.52
62,27.815
63,27.686
64,27.52
65,27.355
68,27.311
69,26.985
70,27.11
71,27.3
72,27.34
75,27.585
76,27.885
77,28.208
78,28.395
79,28.12
82,28.08
83,27.88
84,27.61
85,27.795
86,27.811
89,27.815
90,27.866
91,28.256
92,28.436
96,28.573
97,28.45
98,28.205
99,28.3
100,28.52
103,28.665
104,28.741
105,28.605
106,28.515
107,29.0
110,28.87
111,28.79
112,28.925
113,29.095
114,30.146
117,30.035
118,30.067
119,30.5
120,30.785
121,30.62
124,30.616
125,30.715
126,30.74
127,30.63
128,30.73
131,30.905
132,30.9
133,31.035
134,31.006
135,30.9
138,30.89
139,30.795
140,30.71
141,30.355
142,30.381
146,30.64
147,30.83
148,30.906
149,30.69
152,30.568
153,30.6
154,30.33
155,29.82
156,29.815
159,29.98
160,29.905
161,30.18
162,30.436
163,30.675
166,30.6
167,30.47
168,30.225
169,30.098
170,29.745
173,29.48
174,29.535
175,29.616
176,29.845
177,29.67
180,29.705
181,29.903
183,30.02
184,29.94
187,29.866
188,29.515
189,29.365
190,29.815
191,29.881
194,29.896
195,30.4
196,30.716
197,31.28
198,31.155
201,31.275
202,30.905
203,30.845
204,30.11
205,29.661
208,29.403
209,29.35
210,29.125
211,29.355
212,29.206
215,29.295
216,29.44
217,29.86
218,29.28
219,28.805
222,28.785
223,28.52
224,28.17
225,27.845
226,28.17
229,28.22
230,28.085
231,28.245
232,28.29
233,28.51
236,28.55
237,28.116
238,28.36
239,28.436
240,28.715
244,28.655
245,28.565
246,28.735
247,28.53
250,28.576
251,28.78
252,28.87
253,29.14
254,29.01
257,28.758
258,28.815
259,28.771
260,28.451
261,28.67
264,28.945
265,29.35
266,29.59
267,29.595
268,29.475
271,29.616
272,29.7
273,29.582
274,29.635
275,29.866
278,29.75
279,30.065
280,30.135
281,30.105
282,30.1
285,30.07
286,30.28
287,30.915
288,31.19
289,30.631
292,30.315
293,30.805
294,31.05
295,31.78
296,35.52
299,34.71
300,34.97
301,36.166
302,36.795
303,37.14
306,36.745
307,36.5
308,35.78
309,35.17
310,33.955
313,33.35
314,34.0
315,34.275
316,33.76
317,33.975
320,33.96
321,34.405
322,34.315
324,34.235
327,33.53
328,33.166
329,33.541
330,33.585
331,33.761
334,33.21
335,32.756
336,33.645
337,34.405
338,34.57
341,34.7
342,34.415
343,34.54
344,34.85
345,35.18
348,34.71
349,34.69
350,34.74
351,35.405
352,35.981
355,36.356
357,36.51
358,36.16
359,36.11
362,35.75
364,35.505
365,35.295
366,34.785
369,34.58
370,34.08
371,33.9
372,34.34
373,34.025
376,34.425
377,34.015
378,33.325
379,33.325
380,33.085
384,31.765
385,31.705
386,32.8
387,33.92
390,32.871
391,32.725
392,32.381
393,32.256
394,30.753
397,30.34
398,29.491
399,28.9
400,28.23
401,28.425
404,28.366
405,28.385
406,28.79
407,28.69
408,28.366
412,28.485
413,28.185
414,28.36
415,27.96
418,27.745
419,28.06
420,28.225
421,27.975
422,27.445
425,27.115
426,27.305
427,27.935
428,27.815
429,27.605
432,27.94
433,28.84
434,29.03
435,28.58
436,28.34
439,27.8
440,29.045
441,29.0
442,28.96
446,29.25
447,29.235
448,28.795
449,28.265
450,28.07
453,28.13
454,29.165
455,29.363
456,29.0
457,29.145
460,29.355
461,28.845
462,28.805
463,28.97
464,28.576
467,28.15
468,28.186
469,28.76
470,29.17
471,30.006
474,30.305
475,30.445
476,30.95
477,31.715
478,29.94
481,29.395
482,28.72
483,28.63
484,28.95
485,29.415
488,29.505
489,29.35
490,29.451
491,29.275
492,29.3
495,29.695
496,29.89
497,29.91
498,30.216
499,30.23
502,29.665
503,29.03
504,28.53
505,28.375
506,28.155
510,28.275
511,28.368
512,28.26
513,28.35
516,28.02
517,27.61
518,27.41
519,28.01
520,27.74
523,27.68
524,27.625
525,27.485
526,27.82
527,28.85
530,28.975
531,28.92
532,28.506
533,28.741
534,28.563
537,28.135
538,27.826
539,28.08
540,27.89
541,27.655
544,27.62
545,27.068
546,26.388
547,25.975
551,26.07
552,25.888
553,25.508
554,25.325
555,25.203
558,25.315
559,25.54
560,26.695
561,27.55
562,26.11
565,25.65
566,25.668
567,26.145
568,25.765
569,25.9
572,25.78
573,25.815
574,26.215
575,25.785
576,25.68
579,25.335
580,25.925
581,26.875
582,27.143
583,27.741
586,27.88
587,27.951
588,27.991
589,27.866
590,27.895
593,27.735
594,27.43
595,27.413
596,27.14
597,27.535
600,27.635
601,27.425
602,27.45
603,27.775
604,27.485
608,27.383
609,26.95
610,26.545
611,25.84
614,26.165
615,26.15
616,26.48
617,26.72
618,27.381
621,26.87
622,26.04
623,25.15
624,25.03
625,25.765
628,25.81
629,25.55
630,25.65
631,26.215
632,26.785
635,25.975
636,26.23
637,26.43
638,26.215
639,26.343
