Ticker,Date,Open,High,Low,Close
C 1 COMB Comdty,2007-01-02,389.25,390.5,387.5,390.25
C 1 COMB Comdty,2007-01-03,388,388.25,370.25,370.5
C 1 COMB Comdty,2007-01-04,371,372.5,360.5,362.25
C 1 COMB Comdty,2007-01-05,361.25,368.75,359,368.25
C 1 COMB Comdty,2007-01-08,369,369.75,361.25,363.5
C 1 COMB Comdty,2007-01-09,362,363,354,354.5
C 1 COMB Comdty,2007-01-10,354,363.5,352.5,360.25
C 1 COMB Comdty,2007-01-11,362,380.25,362,376.5
C 1 COMB Comdty,2007-01-12,377,396.5,374.25,396.5
C 1 COMB Comdty,2007-01-16,416.5,416.5,402.5,403
C 1 COMB Comdty,2007-01-17,402.75,420.5,402.5,408
C 1 COMB Comdty,2007-01-18,411.5,418,405.25,412.25
C 1 COMB Comdty,2007-01-19,412.5,414.5,405.75,406.75
C 1 COMB Comdty,2007-01-22,405,409.25,399,404.25
C 1 COMB Comdty,2007-01-23,404.75,410.75,404.75,409
C 1 COMB Comdty,2007-01-24,409,411,397.25,400.75
C 1 COMB Comdty,2007-01-25,402.25,407.5,398.75,407
C 1 COMB Comdty,2007-01-26,407.75,408.75,402,405.5
C 1 COMB Comdty,2007-01-29,406,407.75,396,400
C 1 COMB Comdty,2007-01-30,400,405.75,396,404.75
C 1 COMB Comdty,2007-01-31,405.25,409.25,402.5,404
C 1 COMB Comdty,2007-02-01,404.25,408.5,396.5,398
C 1 COMB Comdty,2007-02-02,398,405.75,394.5,402
C 1 COMB Comdty,2007-02-05,404,407,397.75,402
C 1 COMB Comdty,2007-02-06,402,403.25,396.25,396.5
C 1 COMB Comdty,2007-02-07,396.5,399.75,391.5,392.25
C 1 COMB Comdty,2007-02-08,393,401.25,392.75,399.75
C 1 COMB Comdty,2007-02-09,400.25,409.75,397.25,406.25
C 1 COMB Comdty,2007-02-12,406.25,409.5,403,404.75
C 1 COMB Comdty,2007-02-13,404.25,411.75,403.25,411
C 1 COMB Comdty,2007-02-14,412,414,405.25,408.25
C 1 COMB Comdty,2007-02-15,408.75,412.75,404.75,407.5
C 1 COMB Comdty,2007-02-16,408.75,418,405.75,417
C 1 COMB Comdty,2007-02-20,416.75,420,414,415.25
C 1 COMB Comdty,2007-02-21,415.5,428.25,413.25,426.25
C 1 COMB Comdty,2007-02-22,425.5,435.25,425,434.5
C 1 COMB Comdty,2007-02-23,433,434.5,428,430.25
C 1 COMB Comdty,2007-02-26,430.25,437.25,425,425.5
C 1 COMB Comdty,2007-02-27,425.25,425.75,405.75,411
C 1 COMB Comdty,2007-02-28,411,426,409.25,425.25
C 1 COMB Comdty,2007-03-01,425.75,428.5,405.75,417.25
C 1 COMB Comdty,2007-03-02,417.25,419.25,408.25,411
C 1 COMB Comdty,2007-03-05,410,418,402.5,417.25
