Ticker,Date,Open,High,Low,Close
CC1 COMB Comdty,2007-01-03,1675,1696,1660,1684
CC1 COMB Comdty,2007-01-04,1670,1677,1650,1659
CC1 COMB Comdty,2007-01-05,1680,1680,1585,1607
CC1 COMB Comdty,2007-01-08,1585,1604,1578,1589
CC1 COMB Comdty,2007-01-09,1597,1597,1573,1588
CC1 COMB Comdty,2007-01-10,1609,1624,1605,1617
CC1 COMB Comdty,2007-01-11,1634,1644,1619,1628
CC1 COMB Comdty,2007-01-12,1618,1633,1598,1631
CC1 COMB Comdty,2007-01-16,1605,1611,1593,1606
CC1 COMB Comdty,2007-01-17,1597,1621,1588,1616
CC1 COMB Comdty,2007-01-18,1630,1631,1600,1603
CC1 COMB Comdty,2007-01-19,1605,1612,1585,1594
CC1 COMB Comdty,2007-01-22,1588,1597,1579,1589
CC1 COMB Comdty,2007-01-23,1599,1617,1599,1615
CC1 COMB Comdty,2007-01-24,1620,1622,1595,1599
CC1 COMB Comdty,2007-01-25,1608,1613,1596,1602
CC1 COMB Comdty,2007-01-26,1589,1590,1576,1578
CC1 COMB Comdty,2007-01-29,1574,1605,1566,1602
CC1 COMB Comdty,2007-01-30,1608,1620,1597,1616
CC1 COMB Comdty,2007-01-31,1602,1621,1589,1617
CC1 COMB Comdty,2007-02-01,1610,1650,1610,1641
CC1 COMB Comdty,2007-02-02,1646,1655,1616,1631
CC1 COMB Comdty,2007-02-05,1600,1640,1597,1634
CC1 COMB Comdty,2007-02-06,1640,1660,1637,1653
CC1 COMB Comdty,2007-02-07,1675,1702,1663,1697
CC1 COMB Comdty,2007-02-08,1710,1729,1701,1727
CC1 COMB Comdty,2007-02-09,1718,1725,1699,1717
CC1 COMB Comdty,2007-02-12,1708,1725,1703,1721
CC1 COMB Comdty,2007-02-13,1726,1738,1706,1728
CC1 COMB Comdty,2007-02-14,1718,1715,1685,1714
CC1 COMB Comdty,2007-02-15,1722,1769,1715,1765
CC1 COMB Comdty,2007-02-16,1765,1766,1762,1770
CC1 COMB Comdty,2007-02-20,1760,1763,1735,1745
CC1 COMB Comdty,2007-02-21,1740,1763,1740,1763
CC1 COMB Comdty,2007-02-22,1740,1740,1740,1737
CC1 COMB Comdty,2007-02-23,1760,1762,1740,1762
CC1 COMB Comdty,2007-02-26,1780,1740,1740,1738
CC1 COMB Comdty,2007-02-27,1735,1735,1720,1723
CC1 COMB Comdty,2007-02-28,1745,1745,1715,1720
CC1 COMB Comdty,2007-03-01,1758,1787,1758,1796
CC1 COMB Comdty,2007-03-02,1749,1795,1730,1795
CC1 COMB Comdty,2007-03-05,1784,1760,1721,1769
CC1 COMB Comdty,2007-03-06,1782,1783,1710,1710
CC1 COMB Comdty,2007-03-07,1701,1701,1696,1740
CC1 COMB Comdty,2007-03-08,1710,1772,1772,1761
CC1 COMB Comdty,2007-03-09,1779,1780,1779,1778
CC1 COMB Comdty,2007-03-12,1771,1785,1766,1775
CC1 COMB Comdty,2007-03-13,1797,1795,1785,1789
CC1 COMB Comdty,2007-03-14,1782,1772,1770,1741
CC1 COMB Comdty,2007-03-15,,,,1757
CC1 COMB Comdty,2007-03-16,1779,1800,1766,1790
CC1 COMB Comdty,2007-03-19,1780,1805,1771,1778
CC1 COMB Comdty,2007-03-20,1800,1871,1793,1864
CC1 COMB Comdty,2007-03-21,1870,1914,1868,1894
CC1 COMB Comdty,2007-03-22,1900,1927,1878,1901
CC1 COMB Comdty,2007-03-23,1908,1923,1895,1920
CC1 COMB Comdty,2007-03-26,1920,1942,1901,1926
CC1 COMB Comdty,2007-03-27,1922,1926,1889,1893
CC1 COMB Comdty,2007-03-28,1896,1937,1894,1925
CC1 COMB Comdty,2007-03-29,1926,1966,1918,1941
CC1 COMB Comdty,2007-03-30,1928,1969,1920,1953
CC1 COMB Comdty,2007-04-02,1953,1955,1824,1835
