Ticker,Date,Open,High,Low,Close
CL1 COMB Comdty,2007-01-02,60.98,61.55,60.41,61.05
CL1 COMB Comdty,2007-01-03,60.95,60.97,57.72,58.32
CL1 COMB Comdty,2007-01-04,58.35,58.58,55.39,55.59
CL1 COMB Comdty,2007-01-05,55.41,56.4,54.9,56.31
CL1 COMB Comdty,2007-01-08,56.24,57.72,55.1,56.09
CL1 COMB Comdty,2007-01-09,56.12,56.2,53.88,55.64
CL1 COMB Comdty,2007-01-10,55.75,55.81,53.44,54.02
CL1 COMB Comdty,2007-01-11,53.59,54.73,51.8,51.88
CL1 COMB Comdty,2007-01-12,52.07,53.11,51.56,52.99
CL1 COMB Comdty,2007-01-16,52.79,53.19,50.53,51.21
CL1 COMB Comdty,2007-01-17,51.2,52.4,50.28,52.24
CL1 COMB Comdty,2007-01-18,52.4,52.69,49.9,50.48
CL1 COMB Comdty,2007-01-19,50.47,52.05,50.12,51.99
CL1 COMB Comdty,2007-01-22,52.09,53.44,50.8,51.13
CL1 COMB Comdty,2007-01-23,52.64,55.15,52.41,55.04
CL1 COMB Comdty,2007-01-24,54.97,55.45,53.66,55.37
CL1 COMB Comdty,2007-01-25,55.39,55.9,54.1,54.23
CL1 COMB Comdty,2007-01-26,54.33,55.58,54.2,55.42
CL1 COMB Comdty,2007-01-29,55.63,55.96,53.75,54.01
CL1 COMB Comdty,2007-01-30,53.87,57.05,53.82,56.97
CL1 COMB Comdty,2007-01-31,56.9,58.2,55.75,58.14
CL1 COMB Comdty,2007-02-01,57.89,58.86,57.1,57.3
CL1 COMB Comdty,2007-02-02,57.39,59.25,57.05,59.02
CL1 COMB Comdty,2007-02-05,59.25,59.95,58.46,58.74
CL1 COMB Comdty,2007-02-06,58.9,59.99,58.5,58.88
CL1 COMB Comdty,2007-02-07,59.12,59.85,57.25,57.71
CL1 COMB Comdty,2007-02-08,57.73,59.87,57.3,59.71
CL1 COMB Comdty,2007-02-09,59.78,60.8,59.3,59.89
CL1 COMB Comdty,2007-02-12,59.68,59.76,57.38,57.81
CL1 COMB Comdty,2007-02-13,57.61,59.6,57.24,59.06
CL1 COMB Comdty,2007-02-14,59.03,59.26,57.5,58
CL1 COMB Comdty,2007-02-15,58.03,58.51,56.62,57.99
CL1 COMB Comdty,2007-02-16,58.04,59.45,57.59,59.39
CL1 COMB Comdty,2007-02-20,58.53,58.81,57.32,58.07
CL1 COMB Comdty,2007-02-21,58.89,60.63,58.07,60.07
CL1 COMB Comdty,2007-02-22,60.13,61.25,59.61,60.95
CL1 COMB Comdty,2007-02-23,60.72,61.8,60.5,61.14
CL1 COMB Comdty,2007-02-26,60.88,61.75,60.65,61.39
CL1 COMB Comdty,2007-02-27,61.44,62.25,60.06,61.46
CL1 COMB Comdty,2007-02-28,60.28,62.1,59.92,61.79
CL1 COMB Comdty,2007-03-01,61.82,62.49,60.8,62
CL1 COMB Comdty,2007-03-02,61.84,62.4,61.16,61.64
CL1 COMB Comdty,2007-03-05,61.3,61.3,59.55,60.07
CL1 COMB Comdty,2007-03-06,59.89,60.8,59.65,60.69
