Ticker,Date,Open,High,Low,Close
HG1 COMB Comdty,2007-01-02,287.1,287.1,276.7,287.1
HG1 COMB Comdty,2007-01-03,279.8,279.8,264.5,264.9
HG1 COMB Comdty,2007-01-04,266,266,255.65,260.2
HG1 COMB Comdty,2007-01-05,261.1,265,252,253.5
HG1 COMB Comdty,2007-01-08,253.5,258.95,247,252.8
HG1 COMB Comdty,2007-01-09,253.2,258,249.5,255.6
HG1 COMB Comdty,2007-01-10,255.5,268.55,255.5,266.4
HG1 COMB Comdty,2007-01-11,267.25,270,260.85,265.9
HG1 COMB Comdty,2007-01-12,265.3,265.9,259.5,260.3
HG1 COMB Comdty,2007-01-16,255.2,260.8,248.5,257.75
HG1 COMB Comdty,2007-01-17,256,257.7,252.05,256.95
HG1 COMB Comdty,2007-01-18,255.5,260.85,248,249.2
HG1 COMB Comdty,2007-01-19,248.5,254.4,248.1,252.8
HG1 COMB Comdty,2007-01-22,252.35,255.4,250,252.95
HG1 COMB Comdty,2007-01-23,252,261.5,251.65,257.95
HG1 COMB Comdty,2007-01-24,258.75,261.75,257.5,260.15
HG1 COMB Comdty,2007-01-25,261.2,268.15,259.65,265.45
HG1 COMB Comdty,2007-01-26,264.75,266,258.5,264.05
HG1 COMB Comdty,2007-01-29,263.5,265.4,251.5,254.2
HG1 COMB Comdty,2007-01-30,253.6,258,251,256.15
HG1 COMB Comdty,2007-01-31,257.1,261,255.65,259.45
HG1 COMB Comdty,2007-02-01,258.5,260.5,251.5,253.05
HG1 COMB Comdty,2007-02-02,253.85,254.65,238.5,242.3
HG1 COMB Comdty,2007-02-05,241.3,245.35,240.5,241.65
HG1 COMB Comdty,2007-02-06,242.15,250,241.9,249.65
HG1 COMB Comdty,2007-02-07,249,249.5,242.5,245.5
HG1 COMB Comdty,2007-02-08,245.5,246.9,238.55,245.05
HG1 COMB Comdty,2007-02-09,245.95,253.1,245.05,252.05
HG1 COMB Comdty,2007-02-12,252.45,254.5,245.8,247.75
HG1 COMB Comdty,2007-02-13,246.8,260,246.8,258.45
HG1 COMB Comdty,2007-02-14,258.2,262,256.25,257.7
HG1 COMB Comdty,2007-02-15,257.8,269,256.5,266.4
HG1 COMB Comdty,2007-02-16,265.75,266.7,261.7,264.4
HG1 COMB Comdty,2007-02-20,262.9,264.5,256.35,258.6
HG1 COMB Comdty,2007-02-21,258.5,267.25,256,265.45
HG1 COMB Comdty,2007-02-22,266.2,279.4,264,276.6
HG1 COMB Comdty,2007-02-23,276.25,286.75,275.55,284.05
HG1 COMB Comdty,2007-02-26,284.15,288.8,282.15,285.55
HG1 COMB Comdty,2007-02-27,285.05,285.05,272.5,280.5
HG1 COMB Comdty,2007-02-28,272.1,278.75,270.2,273.3
HG1 COMB Comdty,2007-03-01,275.2,277.5,272.6,273.65
HG1 COMB Comdty,2007-03-02,273,275.15,267,267
HG1 COMB Comdty,2007-03-05,267.85,268.2,261.9,265.8
HG1 COMB Comdty,2007-03-06,268.45,273.05,268.45,270.1
HG1 COMB Comdty,2007-03-07,272.5,278.95,270.2,277.2
HG1 COMB Comdty,2007-03-08,277.65,286.25,277.65,282.55
HG1 COMB Comdty,2007-03-09,282,282,277.5,278
HG1 COMB Comdty,2007-03-12,276.2,284.8,276.2,284.4
HG1 COMB Comdty,2007-03-13,285.5,285.5,279.25,282.45
HG1 COMB Comdty,2007-03-14,281.45,286.35,281.45,282.2
HG1 COMB Comdty,2007-03-15,284,298.5,284,298.5
HG1 COMB Comdty,2007-03-16,299.85,301,295.3,300.85
HG1 COMB Comdty,2007-03-19,300.5,303.5,299.4,301.75
HG1 COMB Comdty,2007-03-20,301.75,305.85,301.75,303.1
HG1 COMB Comdty,2007-03-21,300.6,303.9,300.35,301.9
HG1 COMB Comdty,2007-03-22,308.7,308.7,307,306.75
HG1 COMB Comdty,2007-03-23,310,311,307,306.9
HG1 COMB Comdty,2007-03-26,308.5,313.5,308.5,312.45
HG1 COMB Comdty,2007-03-27,311.15,311.2,303.75,305.25
HG1 COMB Comdty,2007-03-28,303,306.1,303,305.15
HG1 COMB Comdty,2007-03-29,307.2,309.75,302.6,309.75
HG1 COMB Comdty,2007-03-30,309.75,316,308.8,314.6
HG1 COMB Comdty,2007-04-02,314.65,319.4,310.75,317.9
HG1 COMB Comdty,2007-04-03,318.9,332.4,318.25,331.45
HG1 COMB Comdty,2007-04-04,331,339.8,327.6,338.75
HG1 COMB Comdty,2007-04-05,337.15,342.5,334.5,337.7
HG1 COMB Comdty,2007-04-09,339,353.4,336.25,350.6
HG1 COMB Comdty,2007-04-10,352.25,357.05,349.05,352.6
HG1 COMB Comdty,2007-04-11,350.4,362.35,348.1,358.25
HG1 COMB Comdty,2007-04-12,357.2,362.45,346.2,350.2
HG1 COMB Comdty,2007-04-13,348.05,356.45,348,353.2
HG1 COMB Comdty,2007-04-16,354.5,360.8,350,353.95
HG1 COMB Comdty,2007-04-17,355.1,369.75,349.65,367.7
HG1 COMB Comdty,2007-04-18,365.6,369.05,361.1,361.9
HG1 COMB Comdty,2007-04-19,365.15,366.25,351.5,358.65
HG1 COMB Comdty,2007-04-20,358.65,365.2,356.25,361.05
HG1 COMB Comdty,2007-04-23,360.1,364.9,356.1,363.25
HG1 COMB Comdty,2007-04-24,363.8,367.6,352.7,355.25
HG1 COMB Comdty,2007-04-25,356.05,361.35,352.4,358.6
HG1 COMB Comdty,2007-04-26,361,361,345.7,348.8
HG1 COMB Comdty,2007-04-27,348.2,354.4,343.4,351.45
HG1 COMB Comdty,2007-04-30,351.45,357.3,350.4,354.15
HG1 COMB Comdty,2007-05-01,351.85,363.6,351.2,361.55
HG1 COMB Comdty,2007-05-02,363.5,363.6,358,362.85
HG1 COMB Comdty,2007-05-03,363.85,372.5,362.45,371.2
HG1 COMB Comdty,2007-05-04,371.2,379.5,370.1,375.05
HG1 COMB Comdty,2007-05-07,375,375,370.5,371.05
HG1 COMB Comdty,2007-05-08,372.9,373.5,369.65,371.55
HG1 COMB Comdty,2007-05-09,370,370,363.8,367.55
HG1 COMB Comdty,2007-05-10,362.2,362.2,356.4,356.4
HG1 COMB Comdty,2007-05-11,356,363,354,360.1
HG1 COMB Comdty,2007-05-14,360.35,360.35,347.75,349.2
HG1 COMB Comdty,2007-05-15,347,353.9,347,353.35
HG1 COMB Comdty,2007-05-16,349,349.45,341.95,342.4
HG1 COMB Comdty,2007-05-17,340,340,325.95,330.9
HG1 COMB Comdty,2007-05-18,327.5,332.8,326.3,332.85
HG1 COMB Comdty,2007-05-21,334.1,339.5,333.45,340.6
HG1 COMB Comdty,2007-05-22,340.4,340.4,330.5,330.85
HG1 COMB Comdty,2007-05-23,331.7,332.1,328,330.4
HG1 COMB Comdty,2007-05-24,330.95,331.25,317.75,318.35
HG1 COMB Comdty,2007-05-25,324.25,333.25,324.25,332.7
HG1 COMB Comdty,2007-05-29,332.45,332.9,328,332.6
HG1 COMB Comdty,2007-05-30,330.2,331.95,326,330.35
HG1 COMB Comdty,2007-05-31,330.95,339.95,329.9,339.55
HG1 COMB Comdty,2007-06-01,339.7,342.75,337.5,340.5
HG1 COMB Comdty,2007-06-04,340.2,348.95,337.5,346.8
HG1 COMB Comdty,2007-06-05,347.25,350,342,344.15
HG1 COMB Comdty,2007-06-06,343.3,345.5,335.65,340.4
HG1 COMB Comdty,2007-06-07,339.3,341.25,334.1,337.7
HG1 COMB Comdty,2007-06-08,336,337.5,324.4,325.75
HG1 COMB Comdty,2007-06-11,328.45,336.25,327.2,335.6
HG1 COMB Comdty,2007-06-12,335.55,336.2,325.5,328.7
HG1 COMB Comdty,2007-06-13,326.45,332.3,321,331.3
HG1 COMB Comdty,2007-06-14,330.85,342.55,330.4,339.25
HG1 COMB Comdty,2007-06-15,339.15,343.15,334.2,342.2
HG1 COMB Comdty,2007-06-18,341.1,352,340,341.8
HG1 COMB Comdty,2007-06-19,341,341.85,336,339.45
HG1 COMB Comdty,2007-06-20,340.15,345,338.2,344.25
HG1 COMB Comdty,2007-06-21,341.15,344.85,336.3,340.3
HG1 COMB Comdty,2007-06-22,341,342.6,337.25,338.2
HG1 COMB Comdty,2007-06-25,338.2,340.9,329.5,339.7
HG1 COMB Comdty,2007-06-26,337.7,339.85,331.05,331.35
HG1 COMB Comdty,2007-06-27,331.45,337,328.9,335.7
HG1 COMB Comdty,2007-06-28,337,346.05,335.1,342.95
HG1 COMB Comdty,2007-06-29,342.4,347.5,342.4,345.35
HG1 COMB Comdty,2007-07-02,345.35,354.1,345.35,353.55
HG1 COMB Comdty,2007-07-03,352.95,356.95,351,356.3
HG1 COMB Comdty,2007-07-05,352.95,361.5,355.45,360.85
HG1 COMB Comdty,2007-07-06,360.5,361.4,358,361.1
HG1 COMB Comdty,2007-07-09,362,368.3,362,364.85
HG1 COMB Comdty,2007-07-10,366.3,366.3,360,362.85
HG1 COMB Comdty,2007-07-11,364.75,365.6,362.75,364.15
HG1 COMB Comdty,2007-07-12,362.5,366.95,359.15,360.2
HG1 COMB Comdty,2007-07-13,361.5,362.85,355.9,361.55
HG1 COMB Comdty,2007-07-16,361,361.3,358,358.85
HG1 COMB Comdty,2007-07-17,357.1,360,355,358.5
HG1 COMB Comdty,2007-07-18,357.85,361.5,356.65,361
HG1 COMB Comdty,2007-07-19,365.6,370.55,365.6,370.95
HG1 COMB Comdty,2007-07-20,370.15,377.15,370.15,375.4
HG1 COMB Comdty,2007-07-23,378.7,378.7,367.5,369
HG1 COMB Comdty,2007-07-24,369.3,372.35,363,364.85
HG1 COMB Comdty,2007-07-25,362.5,362.5,355,357.05
HG1 COMB Comdty,2007-07-26,358.5,358.6,351.5,352.85
HG1 COMB Comdty,2007-07-27,354.15,356.55,351.2,355.1
HG1 COMB Comdty,2007-07-30,352.95,359.8,350.05,358.85
HG1 COMB Comdty,2007-07-31,359,366,358.15,364.85
HG1 COMB Comdty,2007-08-01,363.6,364.9,355,358.5
HG1 COMB Comdty,2007-08-02,359.3,361.9,356.55,357.3
HG1 COMB Comdty,2007-08-03,359,359.5,346,347.9
HG1 COMB Comdty,2007-08-06,345.85,348.7,343.35,347.35
HG1 COMB Comdty,2007-08-07,347.3,353,346.6,350.65
HG1 COMB Comdty,2007-08-08,350.4,352,340.5,343.9
HG1 COMB Comdty,2007-08-09,344.6,345.95,332,336.1
HG1 COMB Comdty,2007-08-10,333.6,338.25,328.75,335.95
HG1 COMB Comdty,2007-08-13,336.95,344.4,336.6,344.1
HG1 COMB Comdty,2007-08-14,341.5,345.35,334.2,337
HG1 COMB Comdty,2007-08-15,335.5,335.5,329.2,333.2
HG1 COMB Comdty,2007-08-16,331.5,333.2,304.1,309
HG1 COMB Comdty,2007-08-17,314.45,320.75,307,314.65
HG1 COMB Comdty,2007-08-20,317,322.75,315.35,315.95
HG1 COMB Comdty,2007-08-21,317,318.45,313,315
HG1 COMB Comdty,2007-08-22,315.15,323.9,314.6,321.2
HG1 COMB Comdty,2007-08-23,322.95,329.3,322.95,326.3
HG1 COMB Comdty,2007-08-24,326.85,337.6,321.3,333.75
HG1 COMB Comdty,2007-08-27,334.75,348.5,333.35,334.95
HG1 COMB Comdty,2007-08-28,336.2,336.95,325.6,331.15
HG1 COMB Comdty,2007-08-29,328,336.1,325.35,335
HG1 COMB Comdty,2007-08-30,335.2,336.65,332,335.35
HG1 COMB Comdty,2007-08-31,333.85,342.35,336.65,341.1
