Ticker,Date,Open,High,Low,Close
LH1 COMB Comdty,2007-01-02,,,,61.7
LH1 COMB Comdty,2007-01-03,61.3,61.35,59.1,59.5
LH1 COMB Comdty,2007-01-04,59.6,60.7,59.5,60.3
LH1 COMB Comdty,2007-01-05,60.6,61,60.15,60.4
LH1 COMB Comdty,2007-01-08,60.4,60.9,60,60.3
LH1 COMB Comdty,2007-01-09,60,60.35,59.525,59.75
LH1 COMB Comdty,2007-01-10,59.725,61.225,59.35,60.55
LH1 COMB Comdty,2007-01-11,60.675,60.825,60.3,60.5
LH1 COMB Comdty,2007-01-12,60.5,61.1,60.3,60.375
LH1 COMB Comdty,2007-01-16,60.6,61.475,60,60.625
LH1 COMB Comdty,2007-01-17,61.15,62.15,61.075,61.875
LH1 COMB Comdty,2007-01-18,61.925,62.1,61.5,61.8
LH1 COMB Comdty,2007-01-19,61.9,62.3,61.25,61.575
LH1 COMB Comdty,2007-01-22,61.7,62.55,60.725,60.95
LH1 COMB Comdty,2007-01-23,61.1,61.85,60.75,61.8
LH1 COMB Comdty,2007-01-24,61.85,62.85,61.3,62.825
LH1 COMB Comdty,2007-01-25,62.8,63.4,62.5,63.35
LH1 COMB Comdty,2007-01-26,63.55,63.95,63.2,63.875
LH1 COMB Comdty,2007-01-29,64,64.65,63.975,64.05
LH1 COMB Comdty,2007-01-30,64,64,63.3,63.575
LH1 COMB Comdty,2007-01-31,63.85,64.6,63.8,64.525
LH1 COMB Comdty,2007-02-01,64.5,64.9,64.1,64.725
LH1 COMB Comdty,2007-02-02,64.8,65.45,64.5,65.35
LH1 COMB Comdty,2007-02-05,65.5,65.5,64.6,64.675
LH1 COMB Comdty,2007-02-06,64.7,64.9,64.275,64.875
LH1 COMB Comdty,2007-02-07,65.7,65.75,64.775,65.075
LH1 COMB Comdty,2007-02-08,65.1,65.25,64.25,65.175
LH1 COMB Comdty,2007-02-09,65.25,66.6,65.25,66.275
LH1 COMB Comdty,2007-02-12,66.7,67.1,66.55,67.05
LH1 COMB Comdty,2007-02-13,67.1,67.25,66.95,67.175
LH1 COMB Comdty,2007-02-14,67.125,67.2,67,67.125
LH1 COMB Comdty,2007-02-15,69,69.25,68.425,68.7
LH1 COMB Comdty,2007-02-16,69,69.45,68.4,68.5
LH1 COMB Comdty,2007-02-20,68,68,66.8,66.85
