Ticker,Date,Open,High,Low,Close
O 1 COMB Comdty,2007-01-02,271.25,278,271.25,271
O 1 COMB Comdty,2007-01-03,275,275,260,262
O 1 COMB Comdty,2007-01-04,261.75,265.75,258.25,261.25
O 1 COMB Comdty,2007-01-05,262,265,259.5,261.75
O 1 COMB Comdty,2007-01-08,263,263,260,260.75
O 1 COMB Comdty,2007-01-09,261,262,252,252.25
O 1 COMB Comdty,2007-01-10,252,254,246.5,250
O 1 COMB Comdty,2007-01-11,251,257.75,251,256.75
O 1 COMB Comdty,2007-01-12,256.75,276.5,256.5,272.25
O 1 COMB Comdty,2007-01-16,275,279.5,267.25,269
O 1 COMB Comdty,2007-01-17,269,273.75,268,271
O 1 COMB Comdty,2007-01-18,274,276.75,270,272.25
O 1 COMB Comdty,2007-01-19,272,272,267.5,269.25
O 1 COMB Comdty,2007-01-22,268,269,265,267
O 1 COMB Comdty,2007-01-23,267.75,270,263.5,268
O 1 COMB Comdty,2007-01-24,268.5,269,261,263.25
O 1 COMB Comdty,2007-01-25,265.5,269.5,263,265.75
O 1 COMB Comdty,2007-01-26,266,267.75,262,262.25
O 1 COMB Comdty,2007-01-29,262.5,265,252,258.5
O 1 COMB Comdty,2007-01-30,259,261,255.5,259.25
O 1 COMB Comdty,2007-01-31,259.5,265,257,257.25
O 1 COMB Comdty,2007-02-01,257.5,261.5,256.75,257
O 1 COMB Comdty,2007-02-02,256.75,259.5,252,258
O 1 COMB Comdty,2007-02-05,260,260,255.5,257.75
O 1 COMB Comdty,2007-02-06,258.5,258.5,253,254
O 1 COMB Comdty,2007-02-07,254,254.5,249,250
O 1 COMB Comdty,2007-02-08,250,252.75,248.75,250
O 1 COMB Comdty,2007-02-09,251.5,252,247.75,250.5
O 1 COMB Comdty,2007-02-12,250.25,254.75,244.25,245.25
O 1 COMB Comdty,2007-02-13,245.25,249,241.5,242
O 1 COMB Comdty,2007-02-14,243,246,240.25,240.75
O 1 COMB Comdty,2007-02-15,243.5,244.75,237,237.5
O 1 COMB Comdty,2007-02-16,237.75,243.5,237.25,242.5
O 1 COMB Comdty,2007-02-20,243.25,245,240.5,241.5
O 1 COMB Comdty,2007-02-21,243,254,241.75,251
O 1 COMB Comdty,2007-02-22,250.5,257,248,257
O 1 COMB Comdty,2007-02-23,255.25,257,248,250.5
O 1 COMB Comdty,2007-02-26,250.5,261.75,250.5,253
O 1 COMB Comdty,2007-02-27,252.5,253,245.25,249.25
O 1 COMB Comdty,2007-02-28,251,256,249,253
O 1 COMB Comdty,2007-03-01,253.5,252,239.75,245.5
O 1 COMB Comdty,2007-03-02,242,243,242,243
O 1 COMB Comdty,2007-03-05,243.75,253.75,238.5,248
O 1 COMB Comdty,2007-03-06,260.75,260.75,260,260
O 1 COMB Comdty,2007-03-07,261,279.75,261,274
O 1 COMB Comdty,2007-03-08,280,280,265,276
O 1 COMB Comdty,2007-03-09,280,280,272,280
O 1 COMB Comdty,2007-03-12,280,280,278,278
O 1 COMB Comdty,2007-03-13,279.5,280,278,280
O 1 COMB Comdty,2007-03-14,280,280,278,280
O 1 COMB Comdty,2007-03-15,264.5,276.5,264.5,270
O 1 COMB Comdty,2007-03-16,270,277.25,267.25,274.5
O 1 COMB Comdty,2007-03-19,276.5,281.5,274.5,277
O 1 COMB Comdty,2007-03-20,276.75,284.75,276,283.5
O 1 COMB Comdty,2007-03-21,283.25,287,280.25,283.75
O 1 COMB Comdty,2007-03-22,283.75,294.75,280.5,293.75
O 1 COMB Comdty,2007-03-23,293.5,298,284.75,291
O 1 COMB Comdty,2007-03-26,291,302,284.5,289.5
O 1 COMB Comdty,2007-03-27,290,291,285,289.5
O 1 COMB Comdty,2007-03-28,290,293.5,286.5,288.25
O 1 COMB Comdty,2007-03-29,289,292.75,287,292
O 1 COMB Comdty,2007-03-30,291.5,297,276,276.5
O 1 COMB Comdty,2007-04-02,275,282,263.5,276.5
O 1 COMB Comdty,2007-04-03,276.5,278.75,271.25,273
O 1 COMB Comdty,2007-04-04,272,281.5,272,276
O 1 COMB Comdty,2007-04-05,276.5,278.5,272.25,276.5
O 1 COMB Comdty,2007-04-06,,278,272.25,
O 1 COMB Comdty,2007-04-09,277.75,287,277,278
O 1 COMB Comdty,2007-04-10,278,283,276,278.5
O 1 COMB Comdty,2007-04-11,279.5,280,273.5,277.5
O 1 COMB Comdty,2007-04-12,275.5,276.5,266.25,269.5
O 1 COMB Comdty,2007-04-13,270,271,262,271
O 1 COMB Comdty,2007-04-16,269,269,264,268.75
O 1 COMB Comdty,2007-04-17,269,271.5,266,267
O 1 COMB Comdty,2007-04-18,267,269.5,264.5,268.25
O 1 COMB Comdty,2007-04-19,267,270,266.25,268
O 1 COMB Comdty,2007-04-20,268,272.5,258,258
O 1 COMB Comdty,2007-04-23,260,262,252,254
O 1 COMB Comdty,2007-04-24,254,254.25,251.5,252.5
O 1 COMB Comdty,2007-04-25,252.5,265.75,252.5,262
O 1 COMB Comdty,2007-04-26,265.5,268,262,263.5
O 1 COMB Comdty,2007-04-27,264,265.25,262,265
O 1 COMB Comdty,2007-04-30,265,265,253.75,261
O 1 COMB Comdty,2007-05-01,262.5,262.5,259.5,262.5
O 1 COMB Comdty,2007-05-02,262,263,260,263
O 1 COMB Comdty,2007-05-03,266,266.75,266,266
O 1 COMB Comdty,2007-05-04,264,266,264,266
O 1 COMB Comdty,2007-05-07,264.25,264.25,264.25,266
O 1 COMB Comdty,2007-05-08,260,260,250,254.75
O 1 COMB Comdty,2007-05-09,251,253,251,251
O 1 COMB Comdty,2007-05-10,248,248,248,248
O 1 COMB Comdty,2007-05-11,253,253,253,253
O 1 COMB Comdty,2007-05-14,253,253,253,253
O 1 COMB Comdty,2007-05-15,256,259,248.25,257.5
O 1 COMB Comdty,2007-05-16,259,265,257.5,259.5
O 1 COMB Comdty,2007-05-17,262,264,260.5,261.5
O 1 COMB Comdty,2007-05-18,262,272,260.25,266.25
O 1 COMB Comdty,2007-05-21,264.25,275,264.25,271.25
O 1 COMB Comdty,2007-05-22,273,274.75,267.25,269.25
O 1 COMB Comdty,2007-05-23,270.75,279,270,276.5
O 1 COMB Comdty,2007-05-24,277,286.75,274,281
O 1 COMB Comdty,2007-05-25,281,281.75,274.5,275.5
O 1 COMB Comdty,2007-05-29,276.25,279.25,268,274
O 1 COMB Comdty,2007-05-30,274.5,281,271.25,277.5
O 1 COMB Comdty,2007-05-31,279.25,284.75,279.25,281
O 1 COMB Comdty,2007-06-01,284.75,288.5,281.5,286
O 1 COMB Comdty,2007-06-04,286.25,295,285.25,291
O 1 COMB Comdty,2007-06-05,292.75,296,291,292.75
O 1 COMB Comdty,2007-06-06,292,295.5,287.5,290.5
O 1 COMB Comdty,2007-06-07,290.5,294,289,293.5
O 1 COMB Comdty,2007-06-08,293.5,293.5,287.5,292
O 1 COMB Comdty,2007-06-11,293.75,300,293.75,294.5
O 1 COMB Comdty,2007-06-12,294.5,295,289,291
