Ticker,Date,Open,High,Low,Close
RR1 COMB Comdty,2007-01-02,,,,10.13
RR1 COMB Comdty,2007-01-03,10.14,10.16,10.14,10.16
RR1 COMB Comdty,2007-01-04,10.135,10.23,10.135,10.18
RR1 COMB Comdty,2007-01-05,10.2,10.21,10.15,10.21
RR1 COMB Comdty,2007-01-08,10.17,10.38,10.17,10.35
RR1 COMB Comdty,2007-01-09,10.35,10.42,10.35,10.39
RR1 COMB Comdty,2007-01-10,10.37,10.39,10.37,10.37
RR1 COMB Comdty,2007-01-11,10.41,10.45,10.41,10.45
RR1 COMB Comdty,2007-01-12,,,,10.52
RR1 COMB Comdty,2007-01-16,10.45,10.48,10.45,10.45
RR1 COMB Comdty,2007-01-17,,,,10.41
RR1 COMB Comdty,2007-01-18,10.475,10.475,10.37,10.37
RR1 COMB Comdty,2007-01-19,10.36,10.36,10.36,10.36
RR1 COMB Comdty,2007-01-22,10.105,10.105,10.105,10.105
RR1 COMB Comdty,2007-01-23,10.25,10.32,10.15,10.27
RR1 COMB Comdty,2007-01-24,10.305,10.305,10.12,10.175
RR1 COMB Comdty,2007-01-25,10.17,10.22,10.115,10.19
RR1 COMB Comdty,2007-01-26,10.19,10.28,10.18,10.22
RR1 COMB Comdty,2007-01-29,10.21,10.24,10.165,10.2
RR1 COMB Comdty,2007-01-30,10.23,10.23,10.13,10.15
RR1 COMB Comdty,2007-01-31,10.15,10.155,10.05,10.105
RR1 COMB Comdty,2007-02-01,10.08,10.18,10.08,10.13
RR1 COMB Comdty,2007-02-02,10.14,10.15,10.05,10.13
RR1 COMB Comdty,2007-02-05,10.13,10.175,10.1,10.12
RR1 COMB Comdty,2007-02-06,10.11,10.15,10.1,10.11
RR1 COMB Comdty,2007-02-07,10.175,10.23,10.15,10.17
RR1 COMB Comdty,2007-02-08,10.15,10.17,10.12,10.155
RR1 COMB Comdty,2007-02-09,10.155,10.19,10.1,10.18
RR1 COMB Comdty,2007-02-12,10.21,10.23,10.135,10.17
RR1 COMB Comdty,2007-02-13,10.15,10.16,10.13,10.15
RR1 COMB Comdty,2007-02-14,10.135,10.2,10.09,10.11
RR1 COMB Comdty,2007-02-15,10.105,10.105,9.97,9.98
RR1 COMB Comdty,2007-02-16,9.98,10,9.94,9.96
RR1 COMB Comdty,2007-02-20,9.97,10.05,9.94,9.98
RR1 COMB Comdty,2007-02-21,9.98,10.48,9.98,10.365
RR1 COMB Comdty,2007-02-22,10.31,10.365,10.25,10.3
RR1 COMB Comdty,2007-02-23,10.33,10.345,10.17,10.185
RR1 COMB Comdty,2007-02-26,10.18,10.275,10.18,10.22
RR1 COMB Comdty,2007-02-27,10.265,10.265,10.03,10.045
RR1 COMB Comdty,2007-02-28,10.05,10.23,10.04,10.22
RR1 COMB Comdty,2007-03-01,10.22,10.29,10.22,10.32
RR1 COMB Comdty,2007-03-02,10.28,10.3,10.28,10.3
RR1 COMB Comdty,2007-03-05,10.31,10.38,10.28,10.38
RR1 COMB Comdty,2007-03-06,10.45,10.45,10.445,10.445
RR1 COMB Comdty,2007-03-07,10.445,10.45,10.4,10.4
RR1 COMB Comdty,2007-03-08,10.42,10.42,10.37,10.37
RR1 COMB Comdty,2007-03-09,10.35,10.38,10.35,10.38
RR1 COMB Comdty,2007-03-12,10.48,10.5,10.48,10.48
RR1 COMB Comdty,2007-03-13,10.5,10.5,10.5,10.44
RR1 COMB Comdty,2007-03-14,,,,9.99
RR1 COMB Comdty,2007-03-15,,,,9.9
RR1 COMB Comdty,2007-03-16,,,,10.03
