Ticker,Date,Open,High,Low,Close
S 1 COMB Comdty,2007-01-02,681.5,685,680.25,683.5
S 1 COMB Comdty,2007-01-03,680.75,682.5,668.25,669.25
S 1 COMB Comdty,2007-01-04,667,674.5,659.75,662.75
S 1 COMB Comdty,2007-01-05,664.75,668.5,657.75,668
S 1 COMB Comdty,2007-01-08,664.5,668.25,662.25,665
S 1 COMB Comdty,2007-01-09,663,663,650,653.5
S 1 COMB Comdty,2007-01-10,651,656,645.5,653.75
S 1 COMB Comdty,2007-01-11,658.75,665.5,656.5,664
S 1 COMB Comdty,2007-01-12,661.5,707.25,660,706
S 1 COMB Comdty,2007-01-16,716,721,705.5,708.5
S 1 COMB Comdty,2007-01-17,708.5,727,707.5,722
S 1 COMB Comdty,2007-01-18,723,732,713.5,716.25
S 1 COMB Comdty,2007-01-19,717.25,723.75,712.5,717.75
S 1 COMB Comdty,2007-01-22,713.5,723.75,708,717.25
S 1 COMB Comdty,2007-01-23,717.5,728,716.5,727.25
S 1 COMB Comdty,2007-01-24,727.5,728.75,712.5,715
S 1 COMB Comdty,2007-01-25,717,722,707.25,713.25
S 1 COMB Comdty,2007-01-26,716,716,708.5,710.5
S 1 COMB Comdty,2007-01-29,713,715.5,704.5,709.5
S 1 COMB Comdty,2007-01-30,710,722,706.5,721
S 1 COMB Comdty,2007-01-31,720.5,729,717.25,719.5
S 1 COMB Comdty,2007-02-01,719.5,729.5,717.5,721.5
S 1 COMB Comdty,2007-02-02,720,738,718.5,736.75
S 1 COMB Comdty,2007-02-05,737.5,747.5,734.5,740
S 1 COMB Comdty,2007-02-06,739,746.75,737,738.75
S 1 COMB Comdty,2007-02-07,739,748.25,737,741
S 1 COMB Comdty,2007-02-08,741.75,746.75,737.25,743.75
S 1 COMB Comdty,2007-02-09,746.75,757,733.75,749.25
S 1 COMB Comdty,2007-02-12,748.25,752,741,745.25
S 1 COMB Comdty,2007-02-13,744.25,756,743.25,755
S 1 COMB Comdty,2007-02-14,755.5,757.5,748.5,750.5
S 1 COMB Comdty,2007-02-15,752.25,759.5,751.25,758.75
S 1 COMB Comdty,2007-02-16,758.75,768.5,754,767
S 1 COMB Comdty,2007-02-20,766.75,772.25,762.5,771
S 1 COMB Comdty,2007-02-21,770.75,788.25,764.75,781.25
S 1 COMB Comdty,2007-02-22,780.75,791,779.75,783.75
S 1 COMB Comdty,2007-02-23,782,786.75,775.25,778.25
S 1 COMB Comdty,2007-02-26,778.5,790,777,778.75
S 1 COMB Comdty,2007-02-27,778,779.5,756,763.5
S 1 COMB Comdty,2007-02-28,762.75,774,757.25,773.25
S 1 COMB Comdty,2007-03-01,773,773.5,740,746.25
S 1 COMB Comdty,2007-03-02,747,748,735.75,739
S 1 COMB Comdty,2007-03-05,735,737,724.5,735.75
S 1 COMB Comdty,2007-03-06,736,739,732,733
S 1 COMB Comdty,2007-03-07,732.75,748.25,731.5,742.75
S 1 COMB Comdty,2007-03-08,747,752,744,745
S 1 COMB Comdty,2007-03-09,745,747.5,737.5,746.5
S 1 COMB Comdty,2007-03-12,747.5,755.5,744.75,752.25
S 1 COMB Comdty,2007-03-13,753,757.5,743,744
S 1 COMB Comdty,2007-03-14,741,741.5,735,736.5
S 1 COMB Comdty,2007-03-15,754.25,759,748.75,750.5
S 1 COMB Comdty,2007-03-16,749,758.5,744.75,753.5
S 1 COMB Comdty,2007-03-19,756.25,760.25,749.5,759.5
S 1 COMB Comdty,2007-03-20,759.5,765.25,756.75,764.75
S 1 COMB Comdty,2007-03-21,766.25,773,764.25,766.5
S 1 COMB Comdty,2007-03-22,766,772,763.5,771.75
S 1 COMB Comdty,2007-03-23,771,775,769,769.5
S 1 COMB Comdty,2007-03-26,767.5,769,752,758.5
S 1 COMB Comdty,2007-03-27,756.25,761.75,754.75,757
S 1 COMB Comdty,2007-03-28,757,772.25,756.5,770.75
S 1 COMB Comdty,2007-03-29,770.5,779,767,778.25
S 1 COMB Comdty,2007-03-30,776,779,742,761.25
S 1 COMB Comdty,2007-04-02,756.5,787,751.25,779
S 1 COMB Comdty,2007-04-03,778.5,782.75,760.75,763.75
S 1 COMB Comdty,2007-04-04,764.25,772.75,760,761
S 1 COMB Comdty,2007-04-05,761.75,765.5,758,760.5
S 1 COMB Comdty,2007-04-09,765.5,775,748.5,749
S 1 COMB Comdty,2007-04-10,749.25,753,740,742.5
S 1 COMB Comdty,2007-04-11,744.25,750,741.5,746.5
S 1 COMB Comdty,2007-04-12,744,746.75,732,738.25
S 1 COMB Comdty,2007-04-13,738,746,732.75,738
S 1 COMB Comdty,2007-04-16,733.25,742.25,730.25,736
S 1 COMB Comdty,2007-04-17,735.5,737.75,722.5,724
S 1 COMB Comdty,2007-04-18,722,724,713.5,715.5
S 1 COMB Comdty,2007-04-19,714.75,724,714.5,718.25
S 1 COMB Comdty,2007-04-20,717.75,725,714.5,723.25
S 1 COMB Comdty,2007-04-23,723.25,725.25,716,721.25
S 1 COMB Comdty,2007-04-24,720,721.25,709.25,709.75
S 1 COMB Comdty,2007-04-25,709.5,733,708.5,721.5
S 1 COMB Comdty,2007-04-26,721.25,726.5,717,718.25
S 1 COMB Comdty,2007-04-27,718,726.5,717.25,723
S 1 COMB Comdty,2007-04-30,722.75,735.25,717.5,728.5
S 1 COMB Comdty,2007-05-01,728.5,743.75,724.5,741.25
S 1 COMB Comdty,2007-05-02,739,744.25,732.5,734.25
S 1 COMB Comdty,2007-05-03,730.5,743.5,730.5,733.75
S 1 COMB Comdty,2007-05-04,735,739,730,733.5
S 1 COMB Comdty,2007-05-07,734.5,736.5,725,729
S 1 COMB Comdty,2007-05-08,730,733,722,726
S 1 COMB Comdty,2007-05-09,732.5,735,730,733.75
S 1 COMB Comdty,2007-05-10,736,736,732,733
S 1 COMB Comdty,2007-05-11,733,755,733,750
S 1 COMB Comdty,2007-05-14,754,762.25,752.75,762.25
S 1 COMB Comdty,2007-05-15,766.75,781.75,765.5,778
S 1 COMB Comdty,2007-05-16,777.5,796.5,777.25,792.75
S 1 COMB Comdty,2007-05-17,792.75,796.75,786.5,792.75
S 1 COMB Comdty,2007-05-18,793.25,797,790.25,792.5
S 1 COMB Comdty,2007-05-21,790,803,787.5,800.5
S 1 COMB Comdty,2007-05-22,798,802,791,793.25
S 1 COMB Comdty,2007-05-23,789.5,803,788,800.5
S 1 COMB Comdty,2007-05-24,801.75,809.5,800.25,805.25
S 1 COMB Comdty,2007-05-25,804,814.25,803.5,812.5
S 1 COMB Comdty,2007-05-29,809,813.75,796.75,797.5
S 1 COMB Comdty,2007-05-30,797,810.75,791.75,808.25
S 1 COMB Comdty,2007-05-31,807.5,816,799,806.25
S 1 COMB Comdty,2007-06-01,807.5,819.5,805,817.5
S 1 COMB Comdty,2007-06-04,815.25,823.5,813.5,815.75
S 1 COMB Comdty,2007-06-05,822,830,816.75,828.25
S 1 COMB Comdty,2007-06-06,828.5,834.5,816,822.25
S 1 COMB Comdty,2007-06-07,822.5,833,818.75,832
S 1 COMB Comdty,2007-06-08,834.25,835.75,806.75,821.5
S 1 COMB Comdty,2007-06-11,838,848.75,822.25,830
S 1 COMB Comdty,2007-06-12,826.25,832.5,822.75,826.5
S 1 COMB Comdty,2007-06-13,826.25,828.75,815,825.75
S 1 COMB Comdty,2007-06-14,824.75,837.75,823.25,827.5
S 1 COMB Comdty,2007-06-15,828.75,848,827,847.25
S 1 COMB Comdty,2007-06-18,857.25,863,845.5,855.25
S 1 COMB Comdty,2007-06-19,855,859,826.75,829
S 1 COMB Comdty,2007-06-20,828.5,852,828.5,839
S 1 COMB Comdty,2007-06-21,842.25,851.5,813.25,818.5
S 1 COMB Comdty,2007-06-22,820,821.75,791.75,797
S 1 COMB Comdty,2007-06-25,800,805.5,793.75,804.25
S 1 COMB Comdty,2007-06-26,803.25,811.75,798.75,807
S 1 COMB Comdty,2007-06-27,804.5,811,794.75,803.5
S 1 COMB Comdty,2007-06-28,803.5,811.5,800.75,809.75
S 1 COMB Comdty,2007-06-29,810,878.5,807.75,850
S 1 COMB Comdty,2007-07-02,854.25,871.25,850,865
S 1 COMB Comdty,2007-07-03,865.5,866.5,849,850.5
S 1 COMB Comdty,2007-07-05,860,863,850,854.5
S 1 COMB Comdty,2007-07-06,857.25,866,857.25,864.75
S 1 COMB Comdty,2007-07-09,861,873,855,870
S 1 COMB Comdty,2007-07-10,865,889,865,889
S 1 COMB Comdty,2007-07-11,885.75,896,885.5,891
S 1 COMB Comdty,2007-07-12,895,910,892,910
S 1 COMB Comdty,2007-07-13,908,915,900,913
S 1 COMB Comdty,2007-07-16,908,908,871.75,871.75
S 1 COMB Comdty,2007-07-17,861.75,874,828.5,833.75
S 1 COMB Comdty,2007-07-18,835,852.5,835,851.25
S 1 COMB Comdty,2007-07-19,852.5,862.25,837,856
S 1 COMB Comdty,2007-07-20,858,868,843.25,850.25
S 1 COMB Comdty,2007-07-23,843.75,843.75,809.25,816.25
S 1 COMB Comdty,2007-07-24,818,828,813.5,820.25
S 1 COMB Comdty,2007-07-25,821,825,814,815
S 1 COMB Comdty,2007-07-26,815,830.75,808.75,821.5
S 1 COMB Comdty,2007-07-27,821,824,811.5,815.5
S 1 COMB Comdty,2007-07-30,818,825,815.5,822.75
S 1 COMB Comdty,2007-07-31,823.5,838,823.5,834
S 1 COMB Comdty,2007-08-01,834.5,843,823.5,825.75
S 1 COMB Comdty,2007-08-02,827,835.5,826.75,831
S 1 COMB Comdty,2007-08-03,833,841.25,833,839
S 1 COMB Comdty,2007-08-06,825,829,817,826
S 1 COMB Comdty,2007-08-07,826.75,839.5,824,838.5
S 1 COMB Comdty,2007-08-08,838,855,838,855
S 1 COMB Comdty,2007-08-09,857,858,848.75,858
S 1 COMB Comdty,2007-08-10,850,859,840.75,850
S 1 COMB Comdty,2007-08-13,859.25,866,859,861
S 1 COMB Comdty,2007-08-14,862,862,845.5,850
S 1 COMB Comdty,2007-08-15,848.75,855,835.75,839
S 1 COMB Comdty,2007-08-16,838.25,838.25,789,799.25
S 1 COMB Comdty,2007-08-17,799.25,814,798.25,811.5
S 1 COMB Comdty,2007-08-20,806,813.5,804,811.75
S 1 COMB Comdty,2007-08-21,811.5,824.25,811.5,815.75
S 1 COMB Comdty,2007-08-22,815.75,834.5,815.75,831.25
S 1 COMB Comdty,2007-08-23,831,852,831,842
S 1 COMB Comdty,2007-08-24,840.25,850.5,838.5,849
S 1 COMB Comdty,2007-08-27,845,857.25,837.25,856.5
S 1 COMB Comdty,2007-08-28,850,860,848.25,855.25
S 1 COMB Comdty,2007-08-29,853,862,848.75,858.5
S 1 COMB Comdty,2007-08-30,859,878,856,870.5
S 1 COMB Comdty,2007-08-31,870,880.5,867,868
S 1 COMB Comdty,2007-09-04,875.25,899.25,875.25,892.5
S 1 COMB Comdty,2007-09-05,892.75,901,885,889
S 1 COMB Comdty,2007-09-06,885.5,887.5,874.75,878
S 1 COMB Comdty,2007-09-07,879.5,892.75,872.5,891
S 1 COMB Comdty,2007-09-10,895,904,890.75,903.5
S 1 COMB Comdty,2007-09-11,900,906,899.75,905
S 1 COMB Comdty,2007-09-12,906.25,940,906,925
S 1 COMB Comdty,2007-09-13,926,932,921,928
S 1 COMB Comdty,2007-09-14,933,944,930,941
S 1 COMB Comdty,2007-09-17,963,974.75,960,968.5
S 1 COMB Comdty,2007-09-18,966,977.75,960.25,969.5
S 1 COMB Comdty,2007-09-19,971.25,977,952.75,971
S 1 COMB Comdty,2007-09-20,969,996.75,967.5,988.5
