Ticker,Date,Open,High,Low,Close
SB1 Comdty,2007-01-03,11.66,11.66,11.4,11.51
SB1 Comdty,2007-01-04,11.47,11.49,11.26,11.27
SB1 Comdty,2007-01-05,11.27,11.41,11,11.09
SB1 Comdty,2007-01-08,11.25,11.32,11.09,11.16
SB1 Comdty,2007-01-09,11.02,11.15,10.83,11.1
SB1 Comdty,2007-01-10,10.98,11.14,10.9,11.12
SB1 Comdty,2007-01-11,11,11.18,10.95,11.02
SB1 Comdty,2007-01-12,10.85,10.98,10.82,10.93
SB1 Comdty,2007-01-16,11,11.05,10.69,10.91
SB1 Comdty,2007-01-17,10.85,10.95,10.65,10.76
SB1 Comdty,2007-01-18,10.77,10.88,10.62,10.71
SB1 Comdty,2007-01-19,10.8,10.87,10.73,10.86
SB1 Comdty,2007-01-22,10.94,11,10.82,10.93
SB1 Comdty,2007-01-23,10.95,10.95,10.76,10.79
SB1 Comdty,2007-01-24,10.8,10.97,10.75,10.76
SB1 Comdty,2007-01-25,10.8,10.86,10.66,10.69
SB1 Comdty,2007-01-26,10.68,10.74,10.53,10.72
SB1 Comdty,2007-01-29,10.65,10.71,10.56,10.59
SB1 Comdty,2007-01-30,10.57,10.57,10.35,10.55
SB1 Comdty,2007-01-31,10.54,10.63,10.51,10.6
SB1 Comdty,2007-02-01,10.6,10.67,10.44,10.63
SB1 Comdty,2007-02-02,10.63,10.63,10.49,10.5
SB1 Comdty,2007-02-05,10.5,10.57,10.45,10.48
SB1 Comdty,2007-02-06,10.45,10.5,10.17,10.19
SB1 Comdty,2007-02-07,10.25,10.27,9.99,10.12
SB1 Comdty,2007-02-08,10.06,10.32,10.05,10.28
SB1 Comdty,2007-02-09,10.32,10.53,10.19,10.49
SB1 Comdty,2007-02-12,10.47,10.75,10.38,10.39
SB1 Comdty,2007-02-13,10.34,10.43,10.29,10.38
SB1 Comdty,2007-02-14,10.46,10.65,10.46,10.56
SB1 Comdty,2007-02-15,10.87,11.19,10.87,11.11
SB1 Comdty,2007-02-16,11.18,11.22,11.06,11.13
SB1 Comdty,2007-02-20,11.06,11.06,10.75,10.79
SB1 Comdty,2007-02-21,10.74,10.85,10.65,10.71
SB1 Comdty,2007-02-22,10.91,11.12,10.9,11.1
SB1 Comdty,2007-02-23,11.15,11.2,10.95,10.97
SB1 Comdty,2007-02-26,11.03,11.05,10.91,11.02
SB1 Comdty,2007-02-27,11.19,11.49,11.13,11.45
SB1 Comdty,2007-02-28,11.25,11.45,11,11.31
SB1 Comdty,2007-03-01,10.66,10.98,10.64,10.97
SB1 Comdty,2007-03-02,11.13,11.48,11.13,11.22
SB1 Comdty,2007-03-05,11.05,11.08,10.65,10.66
SB1 Comdty,2007-03-06,10.8,10.86,10.71,10.76
SB1 Comdty,2007-03-07,10.71,10.91,10.66,10.68
SB1 Comdty,2007-03-08,10.78,10.8,10.57,10.59
SB1 Comdty,2007-03-09,10.56,10.64,10.48,10.52
SB1 Comdty,2007-03-12,10.48,10.53,10.35,10.36
SB1 Comdty,2007-03-13,10.42,10.58,10.38,10.39
SB1 Comdty,2007-03-14,10.35,10.43,10.29,10.41
SB1 Comdty,2007-03-15,10.5,10.5,10.18,10.23
SB1 Comdty,2007-03-16,10.22,10.29,10.07,10.26
SB1 Comdty,2007-03-19,10.25,10.32,10.11,10.22
SB1 Comdty,2007-03-20,10.2,10.31,10.17,10.23
SB1 Comdty,2007-03-21,10.26,10.28,10.18,10.19
SB1 Comdty,2007-03-22,10.2,10.3,10.15,10.22
SB1 Comdty,2007-03-23,10.23,10.29,10.19,10.2
SB1 Comdty,2007-03-26,10.15,10.15,9.98,10
SB1 Comdty,2007-03-27,10,10.18,9.95,10.11
SB1 Comdty,2007-03-28,10.21,10.24,10.06,10.12
SB1 Comdty,2007-03-29,9.9,9.99,9.83,9.85
SB1 Comdty,2007-03-30,9.9,9.9,9.79,9.88
SB1 Comdty,2007-04-02,9.8,9.85,9.68,9.7
SB1 Comdty,2007-04-03,9.76,9.84,9.68,9.72
SB1 Comdty,2007-04-04,9.68,9.75,9.66,9.71
SB1 Comdty,2007-04-05,9.76,9.81,9.67,9.8
SB1 Comdty,2007-04-09,9.83,9.99,9.81,9.98
SB1 Comdty,2007-04-10,9.96,10.02,9.74,9.75
SB1 Comdty,2007-04-11,9.78,9.96,9.78,9.91
SB1 Comdty,2007-04-12,9.94,9.96,9.85,9.88
SB1 Comdty,2007-04-13,9.93,10,9.88,9.9
SB1 Comdty,2007-04-16,10.02,10.06,9.66,9.7
SB1 Comdty,2007-04-17,9.83,9.9,9.59,9.65
SB1 Comdty,2007-04-18,9.59,9.7,9.38,9.42
SB1 Comdty,2007-04-19,9.46,9.56,9.4,9.55
SB1 Comdty,2007-04-20,9.6,9.62,9.52,9.52
SB1 Comdty,2007-04-23,9.46,9.48,9.3,9.33
SB1 Comdty,2007-04-24,9.36,9.45,9.28,9.32
SB1 Comdty,2007-04-25,9.37,9.55,9.37,9.52
SB1 Comdty,2007-04-26,9.6,9.8,9.55,9.61
SB1 Comdty,2007-04-27,9.58,9.59,9.21,9.35
SB1 Comdty,2007-04-30,9.35,9.6,9.2,9.24
SB1 Comdty,2007-05-01,9.06,9.16,8.99,9.14
SB1 Comdty,2007-05-02,9.17,9.18,9.06,9.14
SB1 Comdty,2007-05-03,9.22,9.29,9.16,9.29
SB1 Comdty,2007-05-04,9.33,9.37,9.27,9.34
SB1 Comdty,2007-05-07,9.26,9.35,9.11,9.32
SB1 Comdty,2007-05-08,9.34,9.35,9.17,9.22
SB1 Comdty,2007-05-09,9.25,9.33,9.22,9.31
